Author,Paper Title
Kenneth Kinzler,Identification of c-MYC as a target of the APC pathway
Kenneth Kinzler,Mismatch repair deficiency predicts response of solid tumors to PD-1 blockade
Kenneth Kinzler,Cancer genes and the pathways they control
Goncalo Abecasis,The sequence alignment/map format and SAMtools
Goncalo Abecasis,Heart disease and stroke statistics—2017 update: a report from the American Heart Association
Goncalo Abecasis,A global reference for human genetic variation
Goncalo Abecasis,The variant call format and VCFtools
Goncalo Abecasis,1000 Genome Project Data Processing Subgroup. 2009. The sequence alignment/map format and samtools
Goncalo Abecasis,A second generation human haplotype map of over 3.1 million SNPs
Goncalo Abecasis,A map of human genome variation from population scale sequencing
Goncalo Abecasis,"An integrated map of genetic variation from 1,092 human genomes"
Goncalo Abecasis,The international HapMap project
Goncalo Abecasis,Identification and analysis of functional elements in 1% of the human genome by the ENCODE pilot project
Francis S. Collins,Initial sequencing and analysis of the human genome
Francis S. Collins,Finding the missing heritability of complex diseases
Francis S. Collins,Identification of the cystic fibrosis gene: cloning and characterization of complementary DNA
Francis S. Collins,A map of human genome variation from population scale sequencing
Francis S. Collins,Initial sequencing and comparative analysis of the mouse genome
Francis S. Collins,A novel gene containing a trinucleotide repeat that is expanded and unstable on Huntington's disease chromosomes
Francis S. Collins,Comprehensive genomic characterization defines human glioblastoma genes and core pathways
Francis S. Collins,The international HapMap project
Francis S. Collins,A new initiative on precision medicine
Francis S. Collins,A second generation human haplotype map of over 3.1 million SNPs
Matthew Meyerson,EGFR Mutations in Lung Cancer: Correlation with Clinical Response to Gefitinib Therapy
Matthew Meyerson,Signatures of mutational processes in human cancer
Matthew Meyerson,"Integrated genomic analysis identifies clinically relevant subtypes of glioblastoma characterized by abnormalities in PDGFRA, IDH1, EGFR, and NF1"
Matthew Meyerson,The Cancer Cell Line Encyclopedia enables predictive modelling of anticancer drug sensitivity
Matthew Meyerson,Comprehensive molecular characterization of human colon and rectal cancer
Matthew Meyerson,Comprehensive genomic characterization defines human glioblastoma genes and core pathways
Matthew Meyerson,Integrated genomic analyses of ovarian carcinoma
Matthew Meyerson,Mutational heterogeneity in cancer and the search for new cancer-associated genes
Matthew Meyerson,Comprehensive molecular characterization of gastric adenocarcinoma
Matthew Meyerson,The somatic genomic landscape of glioblastoma
Paul Zimmet,Heart disease and stroke statistics—2016 update: a report from the American Heart Association
Paul Zimmet,Obesity: preventing and managing the global epidemic: report of a WHO consultation
Paul Zimmet,"Definition, diagnosis and classification of diabetes mellitus and its complications. Part 1: diagnosis and classification of diabetes mellitus. Provisional report of a WHO consultation"
Paul Zimmet,"Harmonizing the metabolic syndrome: a joint interim statement of the international diabetes federation task force on epidemiology and prevention; national heart, lung, and blood institute; American heart association; world heart federation; international atherosclerosis society; and international association for the study of obesity"
Paul Zimmet,The metabolic syndrome—a new worldwide definition
Paul Zimmet,Global estimates of the prevalence of diabetes for 2010 and 2030
Paul Zimmet,The metabolic syndrome
Paul Zimmet,Global and societal implications of the diabetes epidemic
Paul Zimmet,Metabolic syndrome—a new world‐wide definition. A consensus statement from the international diabetes federation
Paul Zimmet,Follow-up report on the diagnosis of diabetes mellitus
