Author-Paper Id,Author,Title,Year,Citations
W8VIEZgAAAAJ:_FM0Bhl9EiAC,Ross Girshick,Caffe: Convolutional architecture for fast feature embedding,2014,17946
W8VIEZgAAAAJ:u5HHmVD_uO8C,Ross Girshick,Object detection with discriminatively trained part-based models,2010,13032
UZ5wscMAAAAJ:v_tt_AnqfNMC,Andrew Zisserman,Very deep convolutional networks for large-scale image recognition,2014,121439
UZ5wscMAAAAJ:LPZeul_q3PIC,Andrew Zisserman,Multiple view geometry in computer vision,2003,34386
UZ5wscMAAAAJ:WqliGbK-hY8C,Andrew Zisserman,The pascal visual object classes (voc) challenge,2010,21936
UZ5wscMAAAAJ:eH23hyXCXa4C,Andrew Zisserman,Two-stream convolutional networks for action recognition in videos,2014,8998
UZ5wscMAAAAJ:_IsBomjs8bsC,Andrew Zisserman,"Quo vadis, action recognition? a new model and the kinetics dataset",2017,8656
UZ5wscMAAAAJ:AFmTUeZ1pmEC,Andrew Zisserman,Spatial transformer networks,2015,8631
UZ5wscMAAAAJ:VOx2b1Wkg3QC,Andrew Zisserman,Video Google: A text retrieval approach to object matching in videos,2003,8458
UZ5wscMAAAAJ:EaFouW7jFu4C,Andrew Zisserman,Deep inside convolutional networks: Visualising image classification models and saliency maps,2013,7973
UZ5wscMAAAAJ:Qy-rCirNo-8C,Andrew Zisserman,The pascal visual object classes challenge: A retrospective,2015,6700
UZ5wscMAAAAJ:j5aT6aphRxQC,Andrew Zisserman,Deep face recognition,2015,6301
tQVe-fAAAAAJ:fc7zyzPI2QAC,Trevor Hastie,Elements of Statistical Learning,2001,84293
tQVe-fAAAAAJ:_u2aKJ9e-CoC,Trevor Hastie,Generalized Additive Models,1990,22610
tQVe-fAAAAAJ:5N-NJrZHaHcC,Trevor Hastie,Introduction to Statistical Learning,2013,22385
tQVe-fAAAAAJ:Tyk-4Ss8FVUC,Trevor Hastie,Regularization and variable selection via the elastic net,2005,20544
tQVe-fAAAAAJ:0EnyYjriUFMC,Trevor Hastie,Regularization paths for generalized linear models via coordinate descent,2010,17379
tQVe-fAAAAAJ:2osOgNQ5qMEC,Trevor Hastie,Gene expression patterns of breast carcinomas distinguish tumor subclasses with clinical implications,2001,17157
tQVe-fAAAAAJ:qjMakFHDy7sC,Trevor Hastie,Least angle regression,2004,12416
tQVe-fAAAAAJ:6LV2YwJzdtgC,Trevor Hastie,Elements of Statistical Learning,2009,10534
tQVe-fAAAAAJ:9yKSN-GCB0IC,Trevor Hastie,Additive logistic regression: a statistical view of boosting (with discussion and a rejoinder by the authors),2000,9408
tQVe-fAAAAAJ:W7OEmFMy1HYC,Trevor Hastie,Estimating the number of clusters in a data set via the gap statistic,2001,7053
WLN3QrAAAAAJ:lo0OIn9KAZgC,Yann LeCun,Deep learning,2015,77229
WLN3QrAAAAAJ:u5HHmVD_uO8C,Yann LeCun,Gradient-based learning applied to document recognition,1998,63599
WLN3QrAAAAAJ:u-x6o8ySG0sC,Yann LeCun,Backpropagation applied to handwritten zip code recognition,1989,16362
WLN3QrAAAAAJ:YsMSGLbcyi4C,Yann LeCun,"Convolutional networks for images, speech, and time series",1995,7993
WLN3QrAAAAAJ:Zo6E4E6iJKMC,Yann LeCun,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks",2014,7648
WLN3QrAAAAAJ:W7OEmFMy1HYC,Yann LeCun,The MNIST database of handwritten digits,1998,7409
WLN3QrAAAAAJ:PkcyUWeTMh0C,Yann LeCun,Efficient backprop,2002,7069
WLN3QrAAAAAJ:7EeV9ZTah7MC,Yann LeCun,Character-level convolutional networks for text classification,2015,6541
WLN3QrAAAAAJ:TIZ-Mc8IlK0C,Yann LeCun,Handwritten digit recognition with a back-propagation network,1990,6258
WLN3QrAAAAAJ:rywEMSoAiS0C,Yann LeCun,Optimal Brain Damage,1990,5871
vtegaJgAAAAJ:u5HHmVD_uO8C,vapnik,The Nature of Statistical Learning Theory,1995,74180
vtegaJgAAAAJ:Sg-YnEhjH50C,vapnik,Support-vector networks,1995,66343
vtegaJgAAAAJ:6B7w4NK6UsoC,vapnik,Statistical learning theory,1998,42847
vtegaJgAAAAJ:9yKSN-GCB0IC,vapnik,A training algorithm for optimal margin classifiers,1992,17139
vtegaJgAAAAJ:RmcNAhKkducC,vapnik,Backpropagation applied to handwritten zip code recognition,1989,16358
vtegaJgAAAAJ:2osOgNQ5qMEC,vapnik,Gene selection for cancer classification using support vector machines,2002,11620
vtegaJgAAAAJ:eQOLeE2rZwMC,vapnik,Support vector regression machines,1996,6527
vtegaJgAAAAJ:qjMakFHDy7sC,vapnik,Estimation of dependences based on empirical data,2006,5687
vtegaJgAAAAJ:UeHWp8X0CEIC,vapnik,On the uniform convergence of relative frequencies of events to their probabilities,2015,5348
vtegaJgAAAAJ:Y0pCki6q_DkC,vapnik,"Support vector method for function approximation, regression estimation and signal processing",1996,4486
