Author-Paper Id,author_id,Title,Year,Citations
odFPj7cAAAAJ:e5wmG9Sq2KIC,odFPj7cAAAAJ,Tax avoidance and geographic earnings disclosure,2013,395
NKLVEFUAAAAJ:u5HHmVD_uO8C,NKLVEFUAAAAJ,Building dialogic relationships through the World Wide Web,1998,2138
NKLVEFUAAAAJ:u-x6o8ySG0sC,NKLVEFUAAAAJ,Toward a dialogic theory of public relations,2002,2037
NKLVEFUAAAAJ:d1gkVwhDpl0C,NKLVEFUAAAAJ,How activist organizations are using the Internet to build relationships,2001,948
NKLVEFUAAAAJ:maZDTaKrznsC,NKLVEFUAAAAJ,Dialogic engagement: Clarifying foundational concepts,2014,922
NKLVEFUAAAAJ:9yKSN-GCB0IC,NKLVEFUAAAAJ,The relationship between Web site design and organizational responsiveness to stakeholders,2003,845
NKLVEFUAAAAJ:2osOgNQ5qMEC,NKLVEFUAAAAJ,Critical analysis of blogging in public relations,2008,440
NKLVEFUAAAAJ:j3f4tGmQtD8C,NKLVEFUAAAAJ,Using social media dialogically: Public relations role in reviving democracy,2013,407
NKLVEFUAAAAJ:LkGwnXOMwfcC,NKLVEFUAAAAJ,Anticipatory socialization in the use of social media in public relations: A content analysis of PRSA's Public Relations Tactics,2010,286
NKLVEFUAAAAJ:ns9cj8rnVeAC,NKLVEFUAAAAJ,The power of storytelling in public relations: Introducing the 20 master plots,2015,262
NKLVEFUAAAAJ:UeHWp8X0CEIC,NKLVEFUAAAAJ,Taxonomy of mediated crisis responses,2007,261
RGquCPAAAAAJ:eq2jaN3J8jMC,RGquCPAAAAAJ,Changing patterns of global staffing in the multinational enterprise: Challenges to the conventional expatriate assignment and emerging alternatives,2007,995
RGquCPAAAAAJ:WqliGbK-hY8C,RGquCPAAAAAJ,Human capital accumulation: the role of human resource development,2001,569
RGquCPAAAAAJ:WC23djZS0W4C,RGquCPAAAAAJ,Human resource management in Europe: Evidence of convergence?,2004,471
RGquCPAAAAAJ:2ywjKiB__4kC,RGquCPAAAAAJ,"On temporary organizations: A review, synthesis and research agenda",2016,349
RGquCPAAAAAJ:JQOojiI6XY0C,RGquCPAAAAAJ,Person‐organization fit,2007,323
RGquCPAAAAAJ:VL0QpB8kHFEC,RGquCPAAAAAJ,360 degree feedback: its role in employee development,1997,236
RGquCPAAAAAJ:2KloaMYe4IUC,RGquCPAAAAAJ,Rating versus ranking: What is the best way to reduce response and language bias in cross-national research?,2009,214
RGquCPAAAAAJ:PaBasH6fAo0C,RGquCPAAAAAJ,Human resource development and workplace learning: emerging theoretical perspectives and organisational practices,2002,197
RGquCPAAAAAJ:ye4kPcJQO24C,RGquCPAAAAAJ,New challenges for European resource management,2016,194
RGquCPAAAAAJ:N5tVd3kTz84C,RGquCPAAAAAJ,Contemporary HRD research: a triarchy of theoretical perspectives and their prescriptions for HRD,2000,192
uzhznKAAAAAJ:u5HHmVD_uO8C,uzhznKAAAAAJ,Impulse buying and variety seeking: A trait-correlates perspective,2010,739
uzhznKAAAAAJ:qUcmZB5y_30C,uzhznKAAAAAJ,Impact of store environment on impulse buying behavior,2013,735
uzhznKAAAAAJ:d1gkVwhDpl0C,uzhznKAAAAAJ,Country of origin effects in developed and emerging markets: Exploring the contrasting roles of materialism and value consciousness,2010,670
uzhznKAAAAAJ:R0GtuAMwyXEC,uzhznKAAAAAJ,Managing uncertainty during a global pandemic: An international business perspective,2020,526
uzhznKAAAAAJ:2osOgNQ5qMEC,uzhznKAAAAAJ,Measuring personal cultural orientations: Scale development and validation,2010,510
uzhznKAAAAAJ:Ui_nyea79ooC,uzhznKAAAAAJ,"Internal service quality as a driver of employee satisfaction, commitment and performance",2016,262
uzhznKAAAAAJ:8EvVLpklxGMC,uzhznKAAAAAJ,Consumer ethnocentrism: Reconceptualization and cross-cultural validation,2015,262
uzhznKAAAAAJ:KYgttONoxcsC,uzhznKAAAAAJ,"Marketing resources, performance, and competitive advantage: A review and future research directions",2016,239
uzhznKAAAAAJ:9yKSN-GCB0IC,uzhznKAAAAAJ,Demystifying intercultural service encounters: Toward a comprehensive conceptual framework,2009,219
uzhznKAAAAAJ:XUAslYVNQLQC,uzhznKAAAAAJ,"Impact of product differentiation, marketing investments and brand equity on pricing strategies",2015,205
mkbf4hUAAAAJ:u5HHmVD_uO8C,mkbf4hUAAAAJ,Is the budget deficit “too large?”,1991,1261
mkbf4hUAAAAJ:2osOgNQ5qMEC,mkbf4hUAAAAJ,"Financial stress: What is it, how can it be measured, and why does it matter",2009,846
mkbf4hUAAAAJ:u-x6o8ySG0sC,mkbf4hUAAAAJ,Cointegration: how short is the long run?,1991,826
mkbf4hUAAAAJ:d1gkVwhDpl0C,mkbf4hUAAAAJ,Conditional variance and the risk premium in the foreign exchange market,1985,792
mkbf4hUAAAAJ:9yKSN-GCB0IC,mkbf4hUAAAAJ,Market efficiency and cointegration: an application to the sterling and deutschemark exchange markets,1989,594
mkbf4hUAAAAJ:qjMakFHDy7sC,mkbf4hUAAAAJ,A re-examination of purchasing power parity: A multi-country and multi-period study,1984,380
mkbf4hUAAAAJ:UeHWp8X0CEIC,mkbf4hUAAAAJ,Expectations and the forward exchange rate,1980,227
mkbf4hUAAAAJ:zYLM7Y9cAGgC,mkbf4hUAAAAJ,The reaction of exchange rates to economic news,1985,222
mkbf4hUAAAAJ:IjCSPb-OGe4C,mkbf4hUAAAAJ,Does the exchange rate follow a random walk? A Monte Carlo study of four tests for a random walk,1986,206
mkbf4hUAAAAJ:W7OEmFMy1HYC,mkbf4hUAAAAJ,What is the effect of financial stress on economic activity,2010,187
