Author-Paper Id,Author,Title,Year,Citations
MySkMIcAAAAJ:uDGL6kOW6j0C,lincoln fry,Measuring professionalism in law enforcement,1976,35
MySkMIcAAAAJ:NyGDZy8z5eUC,lincoln fry,Some evidence on the impact of higher education for law enforcement personnel,1978,33
Oihi51AAAAAJ:2osOgNQ5qMEC,Michael Lott,Pharmacotherapy of post‐traumatic stress disorder with a novel psychotropic,1994,154
Oihi51AAAAAJ:IjCSPb-OGe4C,Michael Lott,"Brofaromine for social phobia: a multicenter, placebo-controlled, double-blind study",1997,137
Oihi51AAAAAJ:9yKSN-GCB0IC,Michael Lott,Serotonergic (5-HT2) mediation of anxiety-therapeutic effects of serazepine in generalized anxiety disorder,1993,36
Oihi51AAAAAJ:u5HHmVD_uO8C,Michael Lott,A clinical test of noradrenergic involvement in the therapeutic mode of action of an experimental antidepressant,1993,12
Oihi51AAAAAJ:UeHWp8X0CEIC,Michael Lott,102 SEROTONERGIC FUNCTION IN TRAUMA VICTIMS,1992,2
Oihi51AAAAAJ:d1gkVwhDpl0C,Michael Lott,Brofaromine in social phobia—Recent findings from a US trial,1996,0
Oihi51AAAAAJ:u-x6o8ySG0sC,Michael Lott,DILEMMAS IN RECRUITMENT IN PTSD TRIALS-IMPLICATIONS FOR RESEARCH,1993,0
9v_ZuQkAAAAJ:IjCSPb-OGe4C,Rashmi meena,Amendment Act 32 of 2007,2007,34
9v_ZuQkAAAAJ:Y0pCki6q_DkC,Rashmi meena,Act 1988,,30
9v_ZuQkAAAAJ:zYLM7Y9cAGgC,Rashmi meena,"Act, 1993",,27
9v_ZuQkAAAAJ:qjMakFHDy7sC,Rashmi meena,"Act, 2013",2013,22
9v_ZuQkAAAAJ:9yKSN-GCB0IC,Rashmi meena,Act 2006,,21
9v_ZuQkAAAAJ:UeHWp8X0CEIC,Rashmi meena,Sexual Offences and Related Matters,2007,11
9v_ZuQkAAAAJ:2osOgNQ5qMEC,Rashmi meena,Amendment Act No. 32 of 2007,,10
9v_ZuQkAAAAJ:u-x6o8ySG0sC,Rashmi meena,Amendment Act 5 of 2015,,8
9v_ZuQkAAAAJ:Tyk-4Ss8FVUC,Rashmi meena,Amendment Act,2010,5
9v_ZuQkAAAAJ:u5HHmVD_uO8C,Rashmi meena,"Amendment Bill, 2006",2003,5
qdEj7O4AAAAJ:ULOm3_A8WrAC,Eimear Spain,Social media and professional identity: pitfalls and potential,2018,37
qdEj7O4AAAAJ:u5HHmVD_uO8C,Eimear Spain,"The Role of Emotions in Criminal Law Defences: Duress, Necessity and Lesser Evils",2011,25
qdEj7O4AAAAJ:8k81kl-MbHgC,Eimear Spain,The victim in the Irish criminal process,2020,16
qdEj7O4AAAAJ:ZeXyd9-uunAC,Eimear Spain,‘Doctors can’t be doctors all of the time’: a qualitative study of how general practitioners and medical students negotiate public-professional and private-personal realms using social media,2021,11
qdEj7O4AAAAJ:-f6ydRqryjwC,Eimear Spain,Compulsory vaccination against COVID-19: a legal and ethical perspective on public good versus personal reticence,2023,9
qdEj7O4AAAAJ:4TOpqqG69KYC,Eimear Spain,Knowledge and attitudes of Irish GPs towards abortion following its legalisation: a cross-sectional study,2019,9
qdEj7O4AAAAJ:Tyk-4Ss8FVUC,Eimear Spain,"Article 40.3.3 and the Protection of Life During Pregnancy Bill 2013: The Impetus for, and Process of, Legislative Change",2013,9
qdEj7O4AAAAJ:5nxA0vEk-isC,Eimear Spain,Exploring the impact of the Victims' Directive on service provision for victims of crime in Ireland,2017,7
qdEj7O4AAAAJ:LkGwnXOMwfcC,Eimear Spain,The absence of regulatory crime from the criminal law curriculum,2016,6
qdEj7O4AAAAJ:eQOLeE2rZwMC,Eimear Spain,“Deaths in prison custody” capstone course: engaging final-year law students in service learning and public value,2016,4
KNM-L7wAAAAJ:zYLM7Y9cAGgC,Rony Saputra,Pertanggungjawaban Pidana Korporasi Dalam Tindak Pidana Korupsi (Bentuk Tindak Pidana Korupsi yang Merugikan Keuangan Negara Terutama Terkait Dengan Pasal 2 Ayat (1) UU PTPK),2015,78
KNM-L7wAAAAJ:UebtZRa9Y70C,Rony Saputra,Penafsiran Unsur Melawan Hukum Dalam Pasal 2 Undang-Undang Pemberantasan Tindak Pidana Korupsi,2016,9
KNM-L7wAAAAJ:Se3iqnhoufwC,Rony Saputra,Penjelasan Hukum: Penafsiran Unsur Melawan Hukum Dalam Pasal 2 Undang-Undang Pemberantasan Tindak Pidana Korupsi,2016,8
KNM-L7wAAAAJ:LkGwnXOMwfcC,Rony Saputra,KEWENANGAN PENUNTUTAN KOMISI PEMBERANTASAN KORUPSI (KPK)PADA KASUS TINDAK PIDANA PENCUCIAN UANG,2016,7
KNM-L7wAAAAJ:roLk4NBRz8UC,Rony Saputra,PERTANGGUNGJAWABAN PIDANA BAGI PENGEMUDI MOBIL BARANG (TRUK) YANG MENGHILANGKAN NYAWA ORANG LAIN,,0
ekVoyAgAAAAJ:-_dYPAW6P2MC,akta yudisia,Aspek hak ekonomi dan hak moral dalam hak cipta,2015,13
ekVoyAgAAAAJ:2KloaMYe4IUC,akta yudisia,Aspek Hukum Laboratorium Forensik Keimigrasian: Studi Kasus Pemeriksaan Paspor Palsu Kebangsaan Inggris atas nama Abbas Tauqeer,2018,10
ekVoyAgAAAAJ:ipzZ9siozwsC,akta yudisia,Tanggung Jawab Perusahaan Dalam Pemenuhan Jaminan Sosial Ketenagakerjaan Di Kota Tarakan,2018,7
ekVoyAgAAAAJ:NJ774b8OgUMC,akta yudisia,The Law Aspect of Immigration Forensic Laboratory,2018,6
ekVoyAgAAAAJ:kzcrU_BdoSEC,akta yudisia,Gratifikasi Pelayanan Seksual Sebagai Tindak Pidana Korupsi,2021,5
ekVoyAgAAAAJ:ZfRJV9d4-WMC,akta yudisia,Perlindungan Hukum Transaksi Bisnis Internasional Pada Era Perdagangan Bebas,2018,5
ekVoyAgAAAAJ:vDijr-p_gm4C,akta yudisia,Akta PKR dari RUPS Luar Biasa yang Mengandung Perbuatan Melawan Hukum,2020,4
ekVoyAgAAAAJ:KUbvn5osdkgC,akta yudisia,Berita bohong (hoaks) pada media sosial dalam perspektif perundang-undangan di indonesia,2019,4
ekVoyAgAAAAJ:j8SEvjWlNXcC,akta yudisia,Penyelenggaraan Pembangunan NKRI Menuju Negara Maritim Berdasarkan Prinsip Negara Kepulauan,2018,4
ekVoyAgAAAAJ:9Nmd_mFXekcC,akta yudisia,PRINSIP-PRINSIP NEGARA HUKUM DALAM AL-QURAN DAN AS-SUNAH DAN IMPLEMENTASINYA DI INDONESIA,2017,3
-gIG8DwAAAAJ:u5HHmVD_uO8C,P.h. Srabon,"The role of women in traditional farming systems as practiced in homegardens: a case study in Sylhet Sadar Upazila, Bangladesh",2010,71
