Author,Paper Title
Lisa Marie Warner,Forschung zur Selbstwirksamkeit bei Lehrerinnen und Lehrern (Research on Teacher Self-efficacy)
Lisa Marie Warner,Medication beliefs predict medication adherence in older adults with multiple illnesses
Lisa Marie Warner,Sources of self-efficacy for physical activity.
Lisa Marie Warner,The role of physical activity in the relationship between self-perceptions of ageing and self-rated health in older adults
Lisa Marie Warner,Emotional and uncontrolled eating styles and chocolate chip cookie consumption. A controlled trial of the effects of positive mood enhancement
Lisa Marie Warner,The role of self-efficacy and friend support on adolescent vigorous physical activity
Lisa Marie Warner,Physical activity intervention in older adults: does a participating partner make a difference?
Vo Nguyen Quoc Bao,On the performance of selection decode-and-forward relay networks over Nakagami-m fading channels
Vo Nguyen Quoc Bao,Cognitive Amplify-and-Forward Relay Networks over Nakagami-m Fading
Vo Nguyen Quoc Bao,Relay Selection Schemes for Dual-Hop Networks under Security Constraints with Multiple Eavesdroppers
Vo Nguyen Quoc Bao,Survey on aerial radio access networks: Toward a comprehensive 6G access infrastructure
Vo Nguyen Quoc Bao,Cognitive Amplify-and-Forward Relaying with Best Relay Selection in Non-Identical Rayleigh Fading
Vo Nguyen Quoc Bao,Cognitive relay networks with multiple primary transceivers under spectrum-sharing
Vo Nguyen Quoc Bao,Exact outage probability of cognitive AF relaying with underlay spectrum sharing
Vo Nguyen Quoc Bao,Proactive Relay Selection with Joint Impact of Hardware Impairment and Co-channel Interference
Vo Nguyen Quoc Bao,On the Performance of Cognitive Underlay Multihop Networks with Imperfect Channel State Information
Vo Nguyen Quoc Bao,Cooperative spectrum sharing networks with AF relay and selection diversity
Philippe Bopp,An improved potential for non-rigid water molecules in the liquid phase
Philippe Bopp,Molecular dynamics and x-ray investigation of an aqueous calcium chloride solution
Philippe Bopp,Static nonlocal dielectric function of liquid water
Philippe Bopp,Molecular dynamics simulation study of an n-decyltrimethylammonium chloride micelle in water
Philippe Bopp,Molecular dynamics study of high-density liquid water using a modified central-force potential
Philippe Bopp,"Molecular dynamics simulation of zeolite NaY: a study of structure, dynamics, and thermalization of sorbates"
Philippe Bopp,Enantioselective recognition at mesoporous chiral metal surfaces
Philippe Bopp,A study of the vibrational motions of water in an aqueous CaCl2 solution
Philippe Bopp,Molecular dynamics simulation of a n-hexadecyltrimethylammonium chloride monolayer
Philippe Bopp,Frequency and wave-vector dependent dielectric function of water: Collective modes and relaxation spectra
Nguyen Dinh Dang,Ground-state correlations beyond RPA
Nguyen Dinh Dang,"Quantal and Thermal Dampings of Giant Dipole Resonances in , , and "
Nguyen Dinh Dang,Temperature dependence of quantal and thermal dampings of the hot giant dipole resonance
Nguyen Dinh Dang,Improved treatment of ground-state correlations: Modified random phase approximation
Nguyen Dinh Dang,Simultaneous microscopic description of nuclear level density and radiative strength function
Nguyen Dinh Dang,Modified Hartree-Fock-Bogoliubov theory at finite temperature
Nguyen Dinh Dang,Spreading of the Gamow-Teller Resonance in Nb and Bi
Nguyen Dinh Dang,Lipkin-Nogami method at finite temperature in the static-path approximation
Nguyen Dinh Dang,Finite temperature projected calculations in the static path approximation
Nguyen Dinh Dang,Influence of particle number fluctuations and vibrational modes on thermodynamic characteristics of a hot nucleus
Evgeni Ivanov,PLA/Graphene/MWCNT composites with improved electrical and thermal properties suitable for FDM 3D printing applications
Evgeni Ivanov,Effects of graphene nanoplatelets and multiwall carbon nanotubes on the structure and mechanical properties of poly (lactic acid) composites: a comparative study
Evgeni Ivanov,"Epoxy composites filled with high surface area-carbon fillers: Optimization of electromagnetic shielding, electrical, mechanical, and thermal properties"
Evgeni Ivanov,Effects of sonochemical modification of carbon nanotubes on electrical and electromagnetic shielding properties of epoxy composites
Evgeni Ivanov,"Exploring thermal annealing and graphene-carbon nanotube additives to enhance crystallinity, thermal, electrical and tensile properties of aged poly (lactic) acid-based filament for 3D printing"
Evgeni Ivanov,"Effects of processing conditions on rheological, thermal, and electrical properties of multiwall carbon nanotube/epoxy resin composites"
Evgeni Ivanov,Rheological and electrical behaviour of nanocarbon/poly (lactic) acid for 3D printing applications
Evgeni Ivanov,Nanocarbon/poly (lactic) acid for 3D printing: effect of fillers content on electromagnetic and thermal properties
Evgeni Ivanov,"Effects of filament extrusion, 3D printing and hot-pressing on electrical and tensile properties of poly (lactic) acid composites filled with carbon nanotubes and graphene"
Evgeni Ivanov,Terahertz absorption in graphite nanoplatelets/polylactic acid composites
